sentence,explicitness
"In Lichfield,” Horvendile retorted, “to adhere to the religion of your fathers is tactful... tactfulness ought to be every wise man’s religion.", 1
"Yes, she has charms which give my thoughts, as it were, a locally religious turn, and make the notion of joining her a rather beautiful idea.", 3
"At this distance she is a rather beautiful idea: nearer, she would be only another woman with her clothes off.", 1
"That resemblance makes for every sedentary virtue.", 3
"It was in this way that Gerald began his journey by putting an affront upon Koleos Koleros.", 1
"A good-morning to you, ma’am,” Gerald had begun.", 1
"For he had it now.", 1
"This woman was uncommonly like Evelyn Townsend.", 1
"Garden of my joys, and summit of sagacity,” the Princess remarked, “you are learned.", 3
"Oh, no, ma’am, it is merely that, as a student of magic, one picks up such bits of information.", 1
"I am the heir apparent to a throne, I cannot honestly declare myself any more than that...", 3
"Well, now, ma’am, to me this looks like just ordinary water.", 1
"My lord, and acme of my contentment, you will recall, for one matter, the love that was between us in this world’s infancy...", 3
"What I meant to say was that I really must request you to desist.", 1
"Ah, yes, that lovely sonnet!” the Princess remarked, with the uneasiness manifested by every normal woman when a man begins to talk about poetry.", 3
"What else is now come to trouble us?” said the wives of the Sylan when Gerald came.", 1
"Ladies, I am Fair-haired Hoo, the Helper and the Preserver, the Lord of the Third Truth, the Well-beloved of Heavenly Ones.", 1
"Your meaning, sir,” said one of them, “may be terrible, but certainly it is not plain.", 1
"And do you doubt my divine word?", 1
"We thus know nothing of its customs.", 1
"To the aged, such as I have now become, the Mirror of Caer Omn reveals nothing any more...", 1
"I regard a mirror which begets any such young fellows as a rather beautiful idea.", 3
"But what under the sun has the sun,” said Gerald, a little flustered, “to do with the not inconsiderable favor which I have conferred upon this country?", 1
"For of course, just as you say, it does seem fairly obvious I am a sun god.", 3
"Thereafter Fair-haired Hoo, the Helper and Preserver, the Lord of the Third Truth, when he had announced his various titles... moistened his finger-tip...", 1
"It was Heaven he was defying, he who was an apostate god, a god unfrightened by the animosity of his divine fellows.", 1
"And his was a splendid martyrdom, for the winged daughters of old Ocean fluttered everywhere about him in the golden Scythian air, like wailing seagulls...", 1
"He turned from these transient things to drunkenness and to the embraces of women, he hunted forgetfulness upon the breasts of nine hundred women...", 1
"He aided in the pillaging of it: the golden armor of Achilles fell to his share.", 1
"There was no one anywhere more quick in wiles than was Odysseus, Laertes’ son.", 1
"But in his hand was still the rope with which he had led this ram, and in his other hand was a bag containing silver money...", 1
"It was a supreme infamy, it was man’s masterpiece in the way of iniquity, it was the reply of a very fine poet to Heaven’s proffered truce...", 1
"But when she returned to him, incredibly beautiful, and pale and proud, and quite naked... then the divine Augusta drew him implacably downward among the dead...", 1
"Yet a gibbet stood uncomfortably near to the place: upon bright days the shadow of this gallows fell across the threshold of the room in which they rather squalidly made merry.", 1
"Time was preparing by and by (still at the instigation of ruthless Heaven) to make an end even to François Villon, who was still so fine a poet...", 1
"But when he would have touched the Swan’s daughter, the delight of gods and men, she vanished, precisely as a touched bubble is shattered into innumerable sparkling bits...", 1
"It would be quite entertaining to enter into Merlin’s dark heart.", 1
"And I who willed to be Lord of the Third Truth have found no third truth anywhere.", 1
"I have found only comfortably colored illusions.", 1
"But I am content with that which I have found here upon Mispec Moor.", 1
"And after that, also, the date of his departure from her neat cottage was postponed until after Sunday...", 1
"His divine steed was for the while turned out to graze with those docile geldings that had once been knights and barons and reigning kings...", 1
"It seemed a bit droll thus to be confronted with so much strange work performed by his own natural body...", 1
"For here were not any folderol romances such as Gerald himself, he felt uneasily, might have perhaps contrived...", 1
"My body in my absence has become, thanks to my body’s books, a reputable and even a looked-up-to citizen.", 3
"Next Gerald lighted on a black box with silver corners, and inside it was a time-discolored manuscript.", 1
"There was not in my natural body sufficient power to sustain the high inspiration of my youth.", 1
"That is a strange and glorious word for you to be telling me,” the boy began.", 1
"I have bought feet too old for errancy, ears that are deaf to the high gods... and I have bought eyes too dim to note whether or not Antan still gleams on the horizon.", 3
"Has my body, during your inhabitancy of it, my dear fellow, escaped from Evelyn Townsend?", 1
"Your body and the body of your Cousin Evelyn have always been such good friends!", 3
"It has been generally felt,” the youngster answered, “that a prominent man of letters was entitled to his Egeria.", 3
"So I stay faithful to one woman, after all!", 3
"I am, in brief, in all respects, a credit to my native Lichfield, and, more generally, to the United States of America.", 3
"Well, certainly I must not spoil the miracle.", 3
"The sun rises in the east.", 1
"Well, that was an interesting choice.", 3
"Water boils at 100 degrees Celsius.", 1
"I'm sure your mother would be proud.", 3
"He bought a new car yesterday.", 1
"He's quite the character, isn't he?", 3
"The library is open until 8 PM.", 1
"Oh, you're here. How... unexpected.", 3
"She enjoys reading mystery novels.", 1
"That's one way to look at it.", 3
"They are planning a vacation to Spain.", 1
"She has a unique sense of style.", 3
"The package was delivered this morning.", 1
"Good luck with that.", 3
"My favorite color is blue.", 1
"He's not exactly known for his punctuality.", 3
"The children are playing in the park.", 1
"My, what a cozy little apartment.", 3
"He submitted his application on time.", 1
"I wouldn't say I loved it.", 3
"The train arrives at Platform 3.", 1
"It's not the worst I've had.", 3
"She is a doctor at the local hospital.", 1
"So, that's your plan, is it?", 3
"We need to buy groceries this afternoon.", 1
"He's got a lot on his mind.", 3
"The movie starts in ten minutes.", 1
"She's... very enthusiastic.", 3
"He finished his homework before dinner.", 1
"Tell me something I don't know.", 3
"The cat is black and white.", 1
"You haven't changed a bit.", 3
"She wore a red dress to the party.", 1
"That will be the day.", 3
"The book is on the top shelf.", 1
"I've had better.", 3
"They live in a small town.", 1
"He certainly makes his presence known.", 3
"The company launched a new product.", 1
"It's a bit chilly in here, don't you think?", 3
"He received an email from his boss.", 1
"Are you quite finished?", 3
"The flowers in the garden are blooming.", 1
"Of course, you would know best.", 3
"She baked a cake for his birthday.", 1
"That's a bold statement.", 3
"The museum is closed on Mondays.", 1
"He could sell ice to an Eskimo.", 3
"He plays the guitar very well.", 1
"She didn't exactly jump for joy.", 3
"The coffee shop opens at 7 AM.", 1
"I'm fine, just peachy.", 3
"They went for a walk by the river.", 1
"His explanation was... creative.", 3
"The report contains important data.", 1
"That's what friends are for, right?", 3
"She needs to make a phone call.", 1
"Don't strain yourself.", 3
"The baby is sleeping soundly.", 1
"It's a learning experience.", 3
"He is studying for his final exams.", 1
"She has a way with words.", 3
"The food at that restaurant is delicious.", 1
"He's an acquired taste.", 3
"She has two brothers and one sister.", 1
"This should be fun.", 3
"The game will be played tomorrow evening.", 1
"I'll think about it.", 3
"He found his keys under the sofa.", 1
"He's got potential.", 3
"The tree in our yard is very tall.", 1
"That's rich coming from you.", 3
"She sent a postcard from her trip.", 1
"The room had a certain... aroma.", 3
"The computer needs to be restarted.", 1
"He's not wrong, technically.", 3
"They are building a new bridge.", 1
"She's always so composed.", 3
"He always drinks coffee in the morning.", 1
"Break a leg!", 3
"The presentation was informative and clear.", 1
"You could cut the tension with a knife.", 3
"She wrote a letter to her grandmother.", 1
"He keeps his cards close to his chest.", 3
"The store is having a sale this week.", 1
"That's just fantastic.", 3
"He fixed the broken chair.", 1
"The silence was deafening.", 3
"The weather forecast predicts rain.", 1
"She gave him a look.", 3
"She teaches mathematics at the high school.", 1
"He means well.", 3
"They adopted a puppy from the shelter.", 1
"It's not rocket science.", 3
"The concert tickets are sold out.", 1
"We'll see about that.", 3
"He is allergic to peanuts.", 1
"She's been through a lot.", 3
"The meeting has been rescheduled.", 1
"Don't hold your breath.", 3
"She prefers tea over coffee.", 1
"He has an interesting take on things.", 3
"The car is parked in the garage.", 1
"She certainly doesn't lack confidence.", 3
"He exercises at the gym regularly.", 1
"That's a new one.", 3
"The painting is hanging on the wall.", 1
"The party was... memorable.", 3
"She learned to swim last summer.", 1
"He's a man of few words.", 3
"The flight was delayed by an hour.", 1
"This is going to be a long night.", 3
"He is wearing a blue shirt today.", 1
"I'm sure it's nothing.", 3
"The students are listening to the teacher.", 1
"She has her moments.", 3
"She organized her desk neatly.", 1
"You wouldn't want to be on her bad side.", 3
"They visited their relatives last weekend.", 1
"He marches to the beat of his own drum.", 3
"The recipe requires three eggs.", 1
"That argument doesn't hold water.", 3
"He took a photograph of the sunset.", 1
"Someone woke up on the wrong side of the bed.", 3
"The office will be closed for the holiday.", 1
"Well, isn't this cozy?", 3
"She is working on a new project.", 1
"He wears many hats.", 3
"The clock on the wall shows the time.", 1
"She could talk the hind legs off a donkey.", 3
"He watered the plants in the garden.", 1
"That's one for the books.", 3
"The road is currently under construction.", 1
"It's always something, isn't it?", 3
"She enjoys listening to classical music.", 1
"He's got a chip on his shoulder.", 3
"They attended the wedding ceremony.", 1
"The plot thickens.", 3
"The keys are on the kitchen counter.", 1
"She really outdid herself this time.", 3
"He set his alarm for 6 AM.", 1
"I've heard that one before.", 3
"The soup needs more salt.", 1
"He's a little rough around the edges.", 3
"She is reading a book about history.", 1
"That plan has a few... gaps.", 3
"The bus stop is just around the corner.", 1
"You can say that again.", 3
"He is responsible for this task.", 1
"Let's agree to disagree.", 3
"The window was open all night.", 1
"He's not the brightest bulb in the box.", 3
"She bought fresh vegetables from the market.", 1
"She's keeping her options open.", 3
"They are watching a documentary on television.", 1
"This is just what I needed today.", 3
"He has an appointment at 3 PM.", 1
"His apology was... noted.", 3
"The grass in the lawn needs cutting.", 1
"That's a thought.", 3
"She is a talented artist.", 1
"She really knows how to make an entrance.", 3
"The team won the championship game.", 1
"He's got more money than sense.", 3
"He sent the files via email.", 1
"Oh, joy.", 3
"The children are drawing pictures with crayons.", 1
"It speaks for itself.", 3
"She speaks three languages fluently.", 1
"That was smooth.", 3
"The shop sells handmade jewelry.", 1
"He's full of surprises.", 3
"He prepared breakfast for his family.", 1
"I wouldn't bet on it.", 3
"The temperature is 25 degrees Celsius.", 1
"She's a tough cookie.", 3
"She is looking for a new apartment.", 1
"The customer is always right, of course.", 3
"They celebrated their anniversary with dinner.", 1
"He's seen better days.", 3
"He repaired the leaky faucet.", 1
"That's a polite way of putting it.", 3
"The project deadline is next Monday.", 1
"She's playing hard to get.", 3
"She donated clothes to charity.", 1
"He can be a bit much sometimes.", 3
"The phone is ringing in the other room.", 1
"The writing's on the wall.", 3
"He read the instructions carefully.", 1
"I'm all ears.", 3
"The cookies are baking in the oven.", 1
"That ship has sailed.", 3
"She has a meeting with her client.", 1
"He's living in his own world.", 3
"They are planning a surprise party.", 1
"This is fine.", 3
"He is the manager of this department.", 1
"She has a certain je ne sais quoi.", 3
"The door was locked from the inside.", 1
"You could have knocked me over with a feather.", 3
"How white a cherry bough could be,", 1
"Oh burn me with your beauty, then,", 3
"May bear the scar of you.", 3
"And a heaven full of stars", 1
"Hearts of fire", 3
"Cannot vex or tire;", 1
"I am an answer, they are only a call.", 3
"Let my heart have its say and my mind stand idly by,", 1
"It is my heart that makes my songs, not I.", 3
"What have I to fear in life or death", 3
"My forefathers gave me My spirit's shaken flame,", 3
"The shape of hands, the beat of heart,", 1
"That gave me heaven for an hour;", 3
"Found at last in meeting eyes.", 3
"Oh when my spirit's fire burns low,", 3
"I shall be tired and glad to go.", 3
"Down the hill I went, and then I forgot the ways of men,", 3
"O Beauty, out of many a cup You have made me drunk and wild", 3
"And my heart, a wavering flame;", 3
"Let this single hour atone For the theft of all of me.", 3
"Places I love come back to me like music,", 1
"As for a kiss ungiven and long desired.", 3
"The ice-covered branches of the hemlocks sparkle", 1
"And heaven is lighting star after star.", 1
"Is like the souls of people who were drowned at sea,", 3
"But they float away--for who can hold Youth, or perfume or the moon's gold?", 3
"Only in sleep I see their faces,", 1
"The years had not sharpened their smooth round faces,", 1
"And for them am I too a child?", 3
"How many times I saw my western city Dream by her river.", 3
"Into my heart's treasury I slipped a coin", 3
"Is the safe-kept memory Of a lovely thing.", 3
"I come and they come with me Finding words with my breath;", 3
"Seek for Beauty, she only Fights with man against Death!", 3
"But now it is night And the cold stars say:", 3
"I should be glad of loneliness And hours that go on broken wings,", 3
"The heart belongs to him who knew it best.", 3
"There never was a mood of mine, Gay or heart-broken, luminous or dull,", 1
"But you could ease me of its fever And give it back to me more beautiful.", 1
"Oh I would live in myself only And build my life lightly and still as a dream--", 3
"Are not my thoughts clearer than your thoughts And colored like stones in a running stream?", 3
"Oh why must I lose myself to love you, My dear?", 3
"The minutes are lighter Than flying foam,", 1
"The days are young runners Naked and fleet--", 1
"It was April when you came The first time to me,", 1
"And my first look in your eyes Was like my first look at the sea.", 1
"Yet whenever I turn To your gray eyes over me,", 1
"It is as though I looked For the first time at the sea.", 1
"I made you many and many a song, Yet never one told all you are--", 1
"It was as though a net of words Were flung to catch a star;", 3
"Your eyes drink of me, Love makes them shine,", 1
"But when we look At each other so Then we feel How little we know;", 3
"The spirit eludes us, Timid and free--", 3
"Can I ever know you Or you know me?", 3
"Out of the window a sea of green trees Lift their soft boughs like the arms of a dancer,", 1
"They beckon and call me, "Come out in the sun!" But I cannot answer.", 3
"I am alone with Weakness and Pain, Sick abed and June is going,", 1
"Men and women pass in the street Glad of the shining sapphire weather,", 1
"But we know more of it than they, Pain and I together.", 3
"They are the runners in the sun, Breathless and blinded by the race,", 1
"But we are watchers in the shade Who speak with Wonder face to face.", 3
"Day, you have bruised and beaten me, As rain beats down the bright, proud sea,", 1
"Left me nothing lovely or whole--", 1
"Oh who could be bitter and want to die When a maiden moon wakes up in the sky?", 3
"Supper comes at five o'clock, At six, the evening star,", 1
"My lover comes at eight o'clock-- But eight o'clock is far.", 3
"How could I bear my pain all day Unless I watched to see", 1
"Oh, I could let the world go by, Its loud new wonders and its wars,", 1
"But how will I give up the sky When winter dusk is set with stars?", 3
"And I could let the cities go, Their changing customs and their creeds,--", 1
"But oh, the summer rains that blow In silver on the jewel-weeds!", 3
"Waves are the sea's white daughters, And raindrops the children of rain,", 1
"But why for my shimmering body Have I a mother like Pain?", 3
"Night is the mother of stars, And wind the mother of foam--", 1
"The world is brimming with beauty, But I must stay at home.", 3
"My soul is a dark ploughed field In the cold rain;", 3
"My soul is a broken field Ploughed by pain.", 3
"The field lies broken now For another sowing.", 1
"Scatter the furrows there With better grain.", 1
"Death went up the hall Unseen by every one,", 1
"Trailing twilight robes Past the nurse and the nun.", 1
"He paused at every door And listened to the breath", 1
"Of those who did not know How near they were to Death.", 3
"Death went up the hall Unseen by nurse and nun;", 1
"He passed by many a door-- But he entered one.", 3
"That I loved the blowing snow Although it stung like whips;", 1
"That I loved all lovely things And I tried to take their stings With gay unembittered lips;", 3
"That I sang as children sing Fitting tunes to everything, Loving life for its own sake.", 3
"Every spring must I bear it all again With the first red haze of the budding maple boughs,", 1
"Oh I am like a rock in the rising river Where the flooded water breaks with a low call--", 1
"Like a rock that knows the cry of the waters And cannot answer at all.", 3
"I know the stars by their names, Aldebaran, Altair,", 1
"But your eyes are dark to me Though they seem to call and call--", 3
"I shall die not knowing The thing I long to know.", 3
"But you I never understood, Your spirit's secret hides like gold", 1
"Sunk in a Spanish galleon Ages ago in waters cold.", 1
"We will never walk again As we used to walk at night,", 1
"Down in the clanging square A street-piano cries And stars come out in the skies.", 3
"It is not a word spoken, Few words are said;", 1
"Only memories waking That sleep so light a sleep.", 3
"Man is exactly what he lives in, for environment is the strongest possible factor in man’s development.", 1
"They are there, and they are as bad as they were at first, but one has become immune to them.", 1
"The first requisite of a house is physical comfort.", 1
"Mental comfort is even more important to man in his home than physical comfort.", 1
"This is not as it should be, for in the right environment the home should furnish the rest and intellectual refreshment needed.", 1
"Good things are not all costly, nor are all cheap things equally bad.", 1
"Knowledge furnishes the greatest defense against bad things in any form.", 1
"Nothing could be further from the truth.", 1
"Simplicity in backgrounds is the foundation of decorative possibility.", 1
"Oversentimentality is as bad as overdecoration.", 1
"A sentimental and an æsthetic feeling are quite distinct from each other.", 1
"This is also well; but nature is not art, neither is man’s imitation of it.", 1
"Art is creation, not imitation.", 1
"Apples and pears look well on trees, in suitable receptacles or on tables.", 1
"It is the hunger appetite being appeased, not the æsthetic.", 1
"This is not art.", 1
"It is natural history and botany illustration in museum effect.", 1
"No greater mistake than this has ever been made.", 1
"For the most difficult thing in the world is for a person to change his established way of thinking or of doing anything.", 1
"In the first place, art is creation.", 1
"An object which does not do honestly and truthfully and sensibly what it purports to do cannot be artistic, no matter how it looks.", 1
"The second element that enters into art is appearance or beauty.", 1
"If the principles of harmony are understood and applied, beauty will result.", 1
"The first question to ask one’s self is: “What is this room for?”", 1
"If it is a dining-room, it is a place in which to eat in peace.", 1
"Nothing is more personal than color and nothing admits of expressing personality with clearer or more manifest charm.", 1
"Red suggests blood and fire.", 1
"It heats and stimulates.", 1
"Need is the fundamental question rather than liking.", 1
"Blue has an opposite effect from red.", 1
"Its reactions are restraint, coolness, repose and distance.", 1
"Violet or purple has the qualities of red and blue, while orange has the qualities of yellow and red.", 1
"This quality of light and darkness in color is called value and must not be forgotten in using color as a language.", 1
"The grossest errors in the whole realm of color used in decoration are committed in this field.", 1
"One of the first premises of decoration is the assumption that there is a definite form or shape upon which a decoration is to be applied.", 1
"Place all rugs in accord with the bounding lines of a room and harmony is at once restored.", 1
"Triangular picture wires are ugly and distracting.", 1
"There are three distinct varieties of motif.", 1
"A third principle of form is known as balance.", 1
"There are two types of balance to consider.", 1
"The ceiling should be unobtrusive, but keyed in color to the rest of the room.", 1
"Operating exactly opposite to the principle of balance is one known as movement.", 1
"The final principle of form is known as unity.", 1
"A room is a unit, so should a house be.", 1
"Texture is that quality of an object which seems to convey the idea of how it feels.", 1
"Linoleum was invented in England in 1863.", 1
"The name comes from two Latin words, linum (flax) and oleum (oil).", 1
"This curing process takes from one to six weeks, depending on the thickness of the material.", 1
"The hall is the first place in your home that visitors see.", 1
"It must be kept speckless and spotless.", 1
"...all of which unite to make an unthinkable, inharmonious jumble which produces a reaction on an impressionable person little short of criminal.", 3
"This being the case, is it any wonder that too frequently we are satisfied with inferior things or that we are not able to compete with other nations...?", 3
"The best possible arrangement, you see, demands more skill than at first appears.", 3
"One might also add that frequently very costly things incline to be bad.", 3
"The introduction of the word “Art” always opens up a new field fraught with unpleasant possibilities.", 3
"So many things masquerade under this name that we are almost deceived as to what it really is.", 3
"Shall we not attack and dispose of some of these fallacies before attempting to see what it actually is?", 3
"Who is there that would not hesitate to sit down on, or put his foot on, a perfectly natural rose or lily?", 3
"Where is there a human being that would care to lie down on a pillow with the painted face, even of an Indian, in the center?", 3
"The whole thing is too simple.", 3
"“Silence is golden,” but a blank space on a wall is often diamonds and emeralds compared to one filled with the average pictures...", 3
"A person who allows himself to decorate his house with frames instead of pictures should be expected to hang his wardrobe in the front hall for the same purpose.", 3
"If mahogany was the favored wood... of course it is a good idea to use it for anything, anywhere, forever afterward...", 3
"Are there spotted fabrics or papers on the wall, the spots on which one involuntarily counts, even after going to sleep?", 3
"He may be erratic enough without it, or possibly he doesn’t need a stimulant.", 3
"Let us look after the piano that is placed catacorner in the living-room, and the bed, in the same position, in the bedroom.", 3
"Who has not wondered what to do with a round clock, when everything else adjacent to it was either square or rectangular in form?", 3
"Where is there a house in which there is not a round or oval picture to be placed, or a chair of wholly curved lines, where all others are straight?", 3
"For some unknown reason we have come to believe that there is no beauty in anything in which there is not a pattern plainly visible... including people, who have some right to be exploited even against wall paper.", 3
"One instinctively rushes to the aid of the chair.", 3
"Erratic crawling vine patterns... are a little suggestive in the early morning hours if one chances to awake.", 3
"It is very rarely that we err on the side of simplicity, but it is not at all unlikely that we may become flagrantly sumptuous...", 3
"These styles are very far apart in their meaning and can only be harmonized by those who know how...", 3
"What shall we do with the things we have?", 3
"We have not to worry if all the powers of science are not directed to the development of so-called efficient service...", 3
"We are extraordinarily committed to this propaganda, as a people, and we might ask ourselves whether we may not be developing this idea at the expense of mental and spiritual ideals...", 3
"Life is certainly something beside machinery, raw materials and money, even granting these to be essentials.", 3
"Shall we remain apathetic and indifferent to this most vital problem... or shall we awaken now...?", 3
"This certainly will not decrease our power to increase the bank account, but will enable us to do it with far less physical effort.", 3
"Most of these have been made to sell, but not to people who use any judgment in buying.", 3
"If half the rubbish in every house in America... were to be burned now, the next generation would have a much clearer vision...", 3
"Most houses belong to this class because the owner refuses to stop when he is done.", 3
"He may also have erred through having no place to decorate, his background being... so nothing could compete for attention...", 3
"But if he is a wise man, he does not apply all his grandfather’s good qualities to all the furniture he uses...", 3
"The school can hardly hope to counteract...the effect of hearing incorrect language spoken at home...", 3
"...the artistic sense is practically dead... in that child whose parents have given the usual wall papers... a chance to do their unrestricted work.", 3
"Realizing this, we lose enthusiasm and take almost anything.", 3
"...the church is greatly handicapped in its influence where wrong principles of life have determined habits...", 3
"Including this in the art idea will remove the misapprehension under which some people labor, that art implies disorder at home...", 3
"Probably we never shall, until we succeed in effacing their memory by discarding the traditions they represent...", 3
"One has but to reflect, and amazement must result when one realizes to what this impulse has led in every field of expression.", 3
"This is so intimately associated with another fallacy that it should suggest it without comment.", 3
"Linoleum for the living-room?", 3
"And is there any floor you can think of--cost considered--that can approach a good linoleum in wearing quality?", 3
"Do you know of any floor that excels linoleum in that respect?", 3
"Have you not found linoleum easy to clean?", 3
"Is not linoleum easy underfoot?", 3
"But you would hardly think of leaving the wood floor in your bedroom and living-room bare, would you?", 3
"Mr. Parsons hardly can seem a stranger to the average reader of this book.", 3
"We are sure that this book will hold your interest from the first to the last word...", 3
"He never does seem able to do things gently.", 3
"Did you think you had to arouse the whole neighborhood just to let me know you were at the door?", 3
"I told him to get the engine out of the airship, and Eradicate said he'd be around to answer the telephone and bell.", 1
"I don't want any strangers poking around here, especially with the plans of my new gyroscope lying in plain view.", 3
"The buildings composing the plant of Tom Swift and his father at Shopton were enclosed by a high, board fence.", 1
"Only those who could give a good account of themselves, workmen in the plant, or those known to the sentinel were admitted.", 1
"""Looks like a detective or a policeman in disguise,"" thought Tom.", 3
"""Well, I'm Tom Swift,"" and the young owner of the name smiled.""", 1
"""I hope you will pardon a stranger for calling on you,"" resumed the man.""", 3
"He was often asked for money to help some struggling inventor complete his machine.", 1
"But this case did not seem to be like anything Tom had ever met with before.", 3
"""I am glad to meet you, Mr. Titus,"" Tom said warmly, offering his hand.", 1
"""What in the world is that?"" cried Mr. Job Titus, in alarm.", 3
"Standing on the front porch, which he seemed to occupy completely, was a large horse, with a saddle twisted underneath him.", 1
"No gentleman can look dignified with a split coat and a crushed hat on, sitting under the nose of a horse on a front piazza.", 3
"The horse finally allowed himself to be led down the broad front steps, sadly marking them, as well as the floor of the piazza, with his sharp shoes.", 1
"""Let me get where I can sit down,"" begged Mr. Damon.""", 1
"Tom Swift was the son of an inventor, and not only inherited his father's talents, but had greatly added to them.", 1
"""The first volume of this series is entitled, ""Tom Swift and His Motor Cycle.""", 1
"The Mars, which was the name of Tom's latest craft, proved to be a great success, and the United States government purchased it.", 1
"Well, I guess I've told you all you need to know for the present.", 3
"As I told Mr. Swift, I had read of his invention of the giant cannon and the special powder he used in it to send a projectile such a distance.", 1
"It disappeared as Mr. Titus ran from the room.", 1
"""Perhaps he saw your giant Koku looking in,"" suggested the odd, little man who blessed everything he could think of.", 3
"""The present difficulties are all of Nature's doing,"" he said.""", 1
